,<pos_x>,<pos_y>,<pos_z>
2820,102.72221,140.4588,52.713936
2830,105.45344,139.38201,55.03362
2840,109.18609,139.29366,57.495222
2850,111.91732,138.21687,59.814906
2860,113.53641,137.12972,63.00812
2870,115.14689,135.04286,66.178507
2880,116.7746,134.95541,69.39455
2890,118.4023,134.86795,72.610593
2900,119.03718,134.79177,75.707546
2910,119.67206,134.71558,78.804499
2920,120.18764,134.61775,82.894073
2930,119.8297,134.55284,85.871936
2940,119.35245,134.46628,89.84242
2950,118.8752,134.37972,93.812904
2960,117.52445,134.32608,96.671677
2970,116.17369,134.27243,99.53045
2980,113.71081,134.20841,103.26275
2990,111.48655,134.18767,105.00982
3000,109.14297,134.14529,107.7495
3010,106.7994,134.1029,110.48918
3020,103.58232,134.09343,112.11715
3030,100.36524,134.08396,113.74513
3040,97.148154,134.07449,115.3731
3050,94.050385,134.08665,116.00845
3060,89.959797,134.11009,116.52471
3070,86.751325,135.10032,118.17551
3080,82.788657,136.14509,117.72198
3090,79.8102,136.1789,117.36471
3100,75.847532,137.22367,116.91118
3110,71.995568,137.29038,115.4422
3120,69.145032,138.34553,114.11513
3130,65.293068,138.41224,112.64615
3140,62.561843,139.48903,110.32647
3150,59.82201,139.56611,107.98396
3160,57.201489,139.66483,104.64882
3170,54.580968,139.76356,101.31369
3180,52.953266,139.85101,98.097647
3190,51.444876,139.9601,93.888983
3200,50.809993,140.03629,90.79203
3210,50.30303,141.13382,86.725284
3220,49.787459,141.23164,82.63571
3230,49.271888,141.32947,78.546136
3240,49.757744,142.41573,74.59848
3250,50.234992,142.50228,70.627996
3260,51.705059,142.57757,66.776602
3270,54.057242,143.61965,64.059748
3280,56.511519,142.68397,60.304615
3290,58.855093,142.72635,57.564932
3300,61.198667,142.76873,54.825249
3310,64.526452,141.80014,52.181828
3320,67.743533,141.80961,50.553856
3330,71.944825,140.80812,49.022146
3340,76.026805,139.78498,48.483057
3350,79.115965,138.77311,47.824878
3360,83.197945,137.74998,47.285788
3370,87.297141,138.72624,46.792356
3380,90.26699,137.69274,47.126797
3390,94.366186,138.669,46.633365
3400,98.337462,138.62393,47.109725
3410,102.18943,138.55722,48.578706
3420,105.04857,138.50177,49.928597
3430,107.7798,137.42499,52.24828
3440,111.51245,137.33664,54.709882
3450,113.13154,136.24948,57.903097
3460,115.87137,136.1724,60.245609
3470,117.49047,135.08524,63.438824
3480,119.10956,133.99808,66.632039
3490,120.73726,133.91063,69.848082
3500,122.24565,133.80154,74.056746
3510,122.88054,133.72535,77.153699
3520,123.51542,133.64916,80.250652
3530,123.03817,133.56261,84.221136
3540,123.67306,133.48642,87.318089
3550,123.19581,133.39987,91.288573
3560,121.72574,133.32458,95.139967
3570,120.37499,133.27093,97.99874
3580,118.90492,133.19564,101.85013
3590,116.56134,133.15326,104.58982
3600,114.20916,132.11118,107.30667
3610,111.8742,133.0685,110.06918
3620,109.64993,133.04776,111.81624
3630,106.30493,132.01694,114.41401
3640,104.08067,131.9962,116.16107
3650,100.86359,131.98673,117.78904
3660,96.78161,133.00987,118.32813
3670,93.675233,132.02233,118.94066
3680,90.577464,132.0345,119.57601
3690,86.495484,133.05763,120.1151
3700,83.406323,134.0695,120.77327
3710,79.435047,134.11458,120.29691
3720,75.47238,135.15935,119.84338
3730,71.620416,135.22606,118.3744
3740,68.769879,136.28121,117.04734
3750,64.917915,136.34792,115.57836
3760,62.067378,137.40307,114.2513
3770,58.334726,137.49142,111.78969
3780,55.714205,137.59014,108.45456
3790,54.086503,137.6776,105.23852
3800,51.465982,137.77632,101.90338
3810,49.83828,137.86377,98.687342
3820,48.210578,137.95123,95.471299
3830,46.710797,139.06002,91.285463
3840,46.075914,139.13621,88.18851
3850,46.553162,139.22277,84.218026
3860,45.05338,140.33156,80.03219
3870,45.530628,140.41812,76.061706
3880,47.009303,141.49311,72.23314
3890,47.486551,141.57966,68.262656
3900,48.956618,141.65495,64.411262
3910,51.419504,141.71897,60.678958
3920,53.88239,141.78299,56.946654
3930,56.225964,141.82537,54.206971
3940,59.553749,140.85678,51.56355
3950,62.762222,139.86655,49.91275
3960,65.970694,138.87632,48.26195
3970,70.171986,137.87483,46.730239
3980,74.253966,136.85169,46.19115
3990,77.343126,135.83982,45.532971
4000,81.433714,135.81639,45.01671
4010,84.531483,135.80422,44.381359
4020,88.622071,135.78079,43.865098
4030,92.712659,135.75735,43.348837
4040,95.571804,135.70191,44.698728
4050,99.551689,136.65654,45.197916
4060,103.52296,136.61146,45.674276
4070,107.37493,136.54475,47.143257
4080,109.98684,135.44632,50.455562
4090,112.84599,135.39088,51.805453
4100,115.46651,135.29216,55.140586
4110,118.19773,134.21537,57.46027
4120,119.82543,134.12792,60.676313
4130,121.44453,133.04076,63.869528
4140,123.06362,131.95361,67.062742
4150,124.69132,131.86615,70.278785
4160,125.20689,131.76833,74.368359
4170,125.84178,131.69214,77.465312
4180,126.35735,131.59432,81.554886
4190,127.00084,132.51783,84.674668
4200,126.52359,132.43128,88.645152
4210,126.16566,132.36636,91.623015
4220,125.68841,132.2798,95.593499
4230,124.21834,132.20451,99.444893
4240,121.87477,132.16213,102.18458
4250,120.5154,131.10878,105.02052
4260,118.18044,132.0661,107.78303
4270,115.83686,132.02372,110.52271
4280,113.48468,130.98164,113.23957
4290,110.14829,130.95053,115.86016
4300,107.92403,130.92979,117.60722
4310,104.70695,130.92032,119.2352
4320,100.61636,130.94375,119.75146
4330,97.399277,130.93428,121.37943
4340,94.301508,130.94644,122.01478
4350,90.21092,130.96988,122.53104
4360,87.113151,130.98204,123.16639
4370,83.031171,132.00518,123.70548
4380,80.052714,132.03899,123.34821
4390,76.090046,133.08376,122.89468
4400,72.11877,133.12883,122.41832
4410,69.259625,133.18428,121.06843
4420,65.416269,134.25069,119.62228
4430,61.683617,134.33905,117.16067
4440,58.833081,135.39419,115.83361
4450,56.093248,135.47127,113.4911
4460,53.472727,135.57,110.15597
4470,50.852206,135.66872,106.82083
4480,49.224504,135.75617,103.60479
4490,46.612591,136.8546,100.29249
4500,44.984889,136.94205,97.076442
4510,44.469318,137.03988,92.986868
4520,42.960928,137.14897,88.778204
4530,42.334653,138.22486,85.70408
4540,41.819082,138.32268,81.614506
4550,42.29633,138.40924,77.644022
4560,42.782187,139.4955,73.696366
4570,43.259435,139.58205,69.725882
4580,44.729502,139.65734,65.874488
4590,46.208177,140.73233,62.045922
4600,48.662455,139.79665,58.29079
4610,51.125341,139.86067,54.558486
4620,53.468915,139.90305,51.818803
4630,56.796699,138.93446,49.175382
4640,60.005172,137.94423,47.524581
4650,64.197855,135.94303,45.970043
4660,68.279835,134.9199,45.430954
4670,71.360388,132.90833,44.749946
4680,75.570288,132.90653,43.241064
4690,78.668057,132.89436,42.605713
4700,82.758645,132.87093,42.089452
4710,85.856414,132.85876,41.454101
4720,89.947002,132.83533,40.93784
4730,93.926886,133.78996,41.437029
4740,96.905343,133.75615,41.794299
4750,101.00454,134.73242,41.300866
4760,104.8565,134.66571,42.769847
4770,107.71565,134.61026,44.119738
4780,111.32038,133.50057,47.551133
4790,114.17952,133.44513,48.901024
4800,116.91936,133.36804,51.243536
4810,119.53988,133.26932,54.578669
4820,121.15897,132.18216,57.771883
4830,123.89881,132.10508,60.114395
4840,125.39859,130.99628,64.300231
4850,126.03347,130.9201,67.397184
4860,127.65256,129.83294,70.590399
4870,128.16814,129.73512,74.679973
4880,129.80445,130.64737,77.918844
4890,129.44651,130.58245,80.896707
4900,129.97069,131.48433,85.009109
4910,130.48626,131.3865,89.098683
4920,130.12832,131.32158,92.076546
4930,128.65826,131.2463,95.92794
4940,127.18819,131.17101,99.779334
4950,125.82883,130.11766,102.61528
4960,124.47807,130.06401,105.47405
4970,122.01519,129.99999,109.20636
4980,119.67161,129.95761,111.94604
4990,117.32804,129.91523,114.68572
5000,114.11096,129.90575,116.31369
5010,111.75877,128.86367,119.03055
5020,108.54169,128.8542,120.65852
5030,105.32461,128.84473,122.28649
5040,101.23402,128.86816,122.80275
5050,98.127647,127.88062,123.41528
5060,94.910566,127.87115,125.04325
5070,90.828586,128.89429,125.58234
5080,87.730817,128.90645,126.21769
5090,83.759541,128.95153,125.74133
5100,80.67038,129.9634,126.39951
5110,76.699104,130.00847,125.92315
5120,72.84714,130.07518,124.45417
5130,68.884473,131.11996,124.00064
5140,66.033936,132.1751,122.67357
5150,62.181972,132.24182,121.20459
5160,59.442139,132.3189,118.86208
5170,56.702306,132.39598,116.51957
5180,52.978262,133.48404,114.08079
5190,50.238429,133.56112,111.73828
5200,48.610727,133.64857,108.52224
5210,45.998814,134.747,105.20993
5220,43.378293,134.84572,101.8748
5230,41.750591,134.93318,98.658758
5240,41.23502,135.031,94.569184
5250,39.735239,136.1398,90.383348
5260,39.100356,136.21598,87.286395
5270,38.584785,136.31381,83.196821
5280,39.062033,136.40036,79.226337
5290,39.539281,136.48692,75.255853
5300,39.15163,137.60608,70.196486
5310,40.621697,137.68137,66.345092
5320,42.091764,137.75666,62.493698
5330,43.442519,137.81031,59.634925
5340,45.905405,137.87433,55.902621
5350,48.368291,137.93835,52.170317
5360,50.711865,137.98073,49.430634
5370,54.03965,137.01214,46.787213
5380,58.232333,135.01094,45.232675
5390,62.305705,132.9881,44.670757
5400,66.506996,131.9866,43.139047
5410,69.587549,129.97503,42.45804
5420,73.669528,128.9519,41.918951
5430,76.639377,127.91839,42.253392
5440,80.729965,127.89496,41.737131
5450,83.827734,127.88279,41.10178
5460,87.92693,128.85906,40.608348
5470,91.024699,128.84689,39.972997
5480,95.123896,129.82316,39.479564
5490,98.230273,130.81069,38.867041
5500,102.21016,131.76532,39.366229
5510,106.07073,132.69831,40.858038
5520,109.92269,132.6316,42.327019
5530,112.65392,131.55481,44.646703
5540,115.51306,131.49937,45.996594
5550,118.2529,131.42229,48.339106
5560,120.87342,131.32356,51.674239
5570,123.61325,131.24648,54.016751
5580,125.23234,130.15932,57.209966
5590,127.85286,130.0606,60.545099
5600,128.48775,129.98442,63.642052
5610,129.98753,128.87562,67.827888
5620,131.61523,128.78817,71.043931
5630,132.1308,128.69034,75.133505
5640,132.77429,129.61386,78.253286
5650,133.28986,129.51603,82.34286
5660,133.92475,129.43985,85.439813
5670,133.45611,130.35299,89.433125
5680,132.97886,130.26644,93.403609
5690,132.61232,129.20182,96.358644
5700,131.14225,129.12653,100.21004
5710,128.67936,129.06251,103.94234
5720,127.32,128.00916,106.77829
5730,124.98503,128.96648,109.5408
5740,122.63285,127.9244,112.25765
5750,120.28928,127.88202,114.99734
5760,117.9457,127.83964,117.73702
5770,114.60931,127.80853,120.35761
5780,111.39223,127.79905,121.98558
5790,108.16654,126.78988,123.59073
5800,104.94946,126.7804,125.2187
5810,101.84308,125.79287,125.83122
5820,97.752494,125.8163,126.34748
5830,94.535413,125.80683,127.97546
5840,91.556956,125.84064,127.61819
5850,87.474976,126.86377,128.15727
5860,84.377207,126.87594,128.79263
5870,80.405931,126.92101,128.31627
5880,76.323952,127.94415,128.85535
5890,73.345495,127.97795,128.49808
5900,69.493531,128.04467,127.0291
5910,65.650175,129.11108,125.58295
5920,62.799638,130.16623,124.25589
5930,58.939066,129.23324,122.76408
5940,56.207841,130.31002,120.4444
5950,52.475189,130.39837,117.98279
5960,49.854668,130.4971,114.64766
5970,47.123444,131.57388,112.32798
5980,45.495742,131.66134,109.11193
5990,42.875221,131.76006,105.7768
6000,41.256127,132.84722,102.58359
6010,39.628425,132.93467,99.367543
6020,38.120035,133.04376,95.158879
6030,36.492333,133.13122,91.942836
6040,35.98537,134.22874,87.87609
6050,35.469799,134.32657,83.786516
6060,34.954228,134.42439,79.696942
6070,35.440084,135.51065,75.749286
6080,35.917332,135.59721,71.778802
6090,36.39458,135.68376,67.808318
6100,37.983959,135.78069,62.964303
6110,39.454026,135.85598,59.112909
6120,41.7976,135.89836,56.373226
6130,44.260486,135.96238,52.640922
6140,46.723372,136.0264,48.908618
6150,49.066946,136.06878,46.168935
6160,52.394731,135.10019,43.525514
6170,56.587415,133.09899,41.970975
6180,60.660786,131.07615,41.409058
6190,64.734157,129.05331,40.847141
6200,68.688217,127.00884,41.277844
6210,72.761588,124.986,40.715927
6220,76.596336,122.91988,42.139251
6230,79.694105,122.90771,41.5039
6240,82.791874,122.89555,40.868549
6250,85.898251,123.88308,40.256027
6260,90.116759,124.88099,38.769973
6270,93.223137,125.86853,38.15745
6280,97.450253,127.86614,36.694224
6290,100.43732,128.83203,37.074323
6300,104.4172,129.78666,37.573511
6310,108.38848,129.74159,38.049871
6320,111.12831,129.6645,40.392383
6330,114.98888,130.59749,41.884192
6340,117.72872,130.52041,44.226704
6350,120.45994,129.44362,46.546388
6360,123.19977,129.36654,48.8889
6370,125.8203,129.26782,52.224033
6380,127.43939,128.18066,55.417248
6390,130.05991,128.08194,58.752381
6400,130.69479,128.00575,61.849334
6410,132.19458,126.89696,66.035169
6420,133.82228,126.8095,69.251212
6430,135.45859,127.72175,72.490084
6440,135.98277,128.62363,76.602486
6450,137.61047,128.53618,79.818529
6460,138.12604,128.43835,83.908103
6470,137.64879,128.35179,87.878587
6480,137.29086,128.28688,90.85645
6490,135.82079,128.21159,94.707844
6500,134.34211,127.1366,98.53641
6510,133.86487,127.05004,102.50689
6520,131.52129,127.00766,105.24658
6530,129.16911,125.96558,107.96343
6540,127.69904,125.89029,111.81483
6550,124.36265,125.85918,114.43542
6560,122.01908,125.8168,117.1751
6570,119.6755,125.77442,119.91478
6580,117.45124,125.75368,121.66185
6590,114.11485,125.72257,124.28244
6600,110.88916,124.71339,125.88758
6610,107.67208,124.70392,127.51556
6620,103.57288,123.72765,128.00899
6630,100.47511,123.73982,128.64434
6640,97.25803,123.73034,130.27231
6650,93.167442,123.75378,130.78857
6660,90.069673,123.76594,131.42392
6670,86.098397,123.81102,130.94756
6680,83.11994,123.84482,130.59029
6690,79.03796,124.86796,131.12938
6700,75.075292,125.91273,130.67585
6710,72.096835,125.94654,130.31858
6720,68.244871,126.01325,128.8496
6730,64.273595,126.05833,128.37324
6740,61.533762,126.13541,126.03073
6750,57.690406,127.20182,124.58457
6760,54.831261,127.25727,123.23468
6770,52.21074,127.35599,119.89955
6780,48.486697,128.44404,117.46078
6790,45.746864,128.52113,115.11826
6800,43.126343,128.61985,111.78313
6810,41.507249,129.70701,108.58992
6820,38.886728,129.80573,105.25478
6830,37.259026,129.89318,102.03874
6840,35.631324,129.98064,98.822698
6850,34.131542,131.08943,94.636862
6860,33.615971,131.18726,90.547288
6870,33.1004,131.28508,86.457714
6880,32.593438,132.38261,82.390968
6890,32.077867,132.48043,78.301394
6900,32.555115,132.56699,74.33091
6910,33.040971,133.65325,70.383255
6920,34.50243,132.72883,66.509032
6930,34.988286,133.81509,62.561377
6940,36.458353,133.89038,58.709983
6950,37.937028,134.96537,54.881417
6960,40.399914,135.02939,51.149113
6970,42.854192,134.09371,47.393981
6980,45.197766,134.13609,44.654298
6990,48.653471,134.18884,41.041084
7000,51.861944,133.19861,39.390283
7010,56.063235,132.19711,37.858573
7020,60.136607,130.17427,37.296656
7030,65.074877,127.11883,37.823621
7040,69.893835,124.04174,39.343208
7050,73.719974,120.97592,40.743704
7060,76.689823,119.94241,41.078146
7070,80.643882,117.89794,41.508849
7080,83.75026,118.88547,40.896327
7090,86.967341,118.89494,39.268355
7100,90.201638,120.90382,37.686039
7110,93.316624,122.89106,37.096344
7120,96.550921,124.89994,35.514029
7130,100.76943,125.89784,34.027975
7140,104.74931,126.85247,34.527163
7150,108.60989,127.78546,36.018972
7160,111.46903,127.73002,37.368863
7170,115.321,127.6633,38.837844
7180,119.17296,127.59659,40.306825
7190,121.91279,127.51951,42.649337
7200,124.53331,127.42079,45.98447
7210,127.27315,127.3437,48.326982
7220,128.90085,127.25625,51.543025
7230,131.51276,126.15782,54.85533
7240,132.02833,126.06,58.944904
7250,133.64743,124.97284,62.138119
7260,135.27513,124.88539,65.354162
7270,136.91144,125.79764,68.593033
7280,139.54057,126.69862,71.950994
7290,141.05757,127.58922,76.182487
7300,141.69245,127.51304,79.27944
7310,142.20802,127.41521,83.369014
7320,141.73077,127.32866,87.339498
7330,140.2521,126.25367,91.168063
7340,139.77485,126.16711,95.138547
7350,139.2976,126.08056,99.109031
7360,137.94685,126.02691,101.9678
7370,136.47678,125.95162,105.8192
7380,133.13178,124.9208,108.41696
7390,131.66171,124.84552,112.26836
7400,129.30953,123.80343,114.98521
7410,125.97313,123.77232,117.60581
7420,123.74026,122.75188,119.33004
7430,120.41248,123.72047,121.97346
7440,118.0603,122.67839,124.69031
7450,114.84322,122.66891,126.31829
7460,111.62614,122.65944,127.94626
7470,108.40905,122.64997,129.57423
7480,104.19055,121.65206,131.06028
7490,101.09278,121.66423,131.69564
7500,97.995008,121.67639,132.33099
7510,93.90442,121.69983,132.84725
7520,90.917355,120.73393,132.46715
7530,86.835375,121.75707,133.00624
7540,83.737606,121.76923,133.64159
7550,79.76633,121.81431,133.16523
7560,75.803662,122.85908,132.7117
7570,72.825205,122.89289,132.35443
7580,68.853929,122.93796,131.87807
7590,65.001965,123.00467,130.40909
7600,62.151429,124.05982,129.08202
7610,58.299465,124.12653,127.61304
7620,55.44032,124.18198,126.26315
7630,51.707668,124.27033,123.80155
7640,48.976443,125.34711,121.48187
7650,46.23661,125.4242,119.13935
7660,43.624697,126.52262,115.82705
7670,40.995568,125.62164,112.46909
7680,39.376474,126.7088,109.27587
7690,36.636641,126.78588,106.93336
7700,35.136859,127.89468,102.74753
7710,32.516338,127.9934,99.412393
7720,32.000767,128.09122,95.322819
7730,30.492377,128.20032,91.114155
7740,29.866103,129.2762,88.04003
7750,29.350532,129.37403,83.950456
7760,28.834961,129.47185,79.860882
7770,28.327998,130.56938,75.794136
7780,28.924558,130.67758,70.831031
7790,29.401806,130.76413,66.860547
7800,30.871873,130.83942,63.009153
